"날짜","종가","시가","고가","저가","거래량","변동 %"
"2016- 03- 06","202.76","199.34","202.81","197.38","613.80M","1.16%"
"2016- 02- 28","200.43","195.11","201.35","193.33","594.60M","2.74%"
"2016- 02- 21","195.09","193.87","196.68","189.32","606.47M","1.61%"
"2016- 02- 14","192.00","188.77","193.32","187.63","473.40M","2.88%"
"2016- 02- 07","186.63","185.77","188.34","181.09","870.95M","-0.70%"
"2016- 01- 31","187.95","192.53","194.58","187.10","844.00M","-2.98%"
"2016- 01- 24","193.72","189.92","193.88","187.06","811.42M","1.68%"
"2016- 01- 17","190.52","189.96","190.76","181.02","845.88M","1.44%"
"2016- 01- 10","187.81","193.01","194.86","185.52","1.15B","-2.14%"
"2016- 01- 03","191.92","200.49","201.90","191.58","908.57M","-5.86%"
"2015- 12- 27","203.87","204.86","207.79","203.87","336.74M","-0.88%"
"2015- 12- 20","205.68","201.41","206.33","200.09","369.65M","2.83%"
"2015- 12- 13","200.02","202.07","208.48","199.83","957.96M","-0.92%"
"2015- 12- 06","201.88","209.23","209.73","201.51","695.10M","-3.69%"
"2015- 11- 29","209.62","209.75","211.00","204.75","678.26M","0.03%"
"2015- 11- 22","209.56","209.38","209.98","207.41","253.10M","0.12%"
"2015- 11- 15","209.31","202.32","210.12","202.18","542.34M","3.34%"
"2015- 11- 08","202.54","209.31","209.49","202.44","549.62M","-3.57%"
"2015- 11- 01","210.04","208.32","211.66","208.17","466.62M","1.01%"
"2015- 10- 25","207.93","207.30","209.44","205.79","504.45M","0.20%"
"2015- 10- 18","207.51","202.50","207.95","201.65","576.36M","2.09%"
"2015- 10- 11","203.27","201.42","203.29","198.94","492.26M","0.96%"
"2015- 10- 04","201.33","196.46","201.90","196.33","621.03M","3.25%"
"2015- 09- 27","195.00","191.78","195.03","186.93","843.10M","1.11%"
"2015- 09- 20","192.85","196.44","197.68","190.56","666.84M","-1.33%"
"2015- 09- 13","195.45","196.95","202.89","194.96","792.54M","-0.66%"
"2015- 09- 06","196.74","195.94","199.47","194.25","543.68M","2.15%"
"2015- 08- 30","192.59","198.11","199.12","190.73","938.74M","-3.36%"
"2015- 08- 23","199.28","187.49","199.84","182.40","1.65B","0.73%"
"2015- 08- 16","197.83","208.71","210.68","197.52","864.63M","-5.53%"
"2015- 08- 09","209.42","209.28","210.67","205.36","540.65M","0.71%"
"2015- 08- 02","207.95","210.46","211.31","206.87","515.46M","-1.21%"
"2015- 07- 26","210.50","206.94","211.45","206.26","556.27M","1.20%"
"2015- 07- 19","208.00","212.75","213.18","207.60","445.34M","-2.11%"
"2015- 07- 12","212.48","208.99","212.55","208.94","481.41M","2.41%"
"2015- 07- 05","207.48","205.77","208.17","204.11","729.39M","0.08%"
"2015- 06- 28","207.31","208.04","209.83","205.28","625.90M","-1.20%"
"2015- 06- 21","209.82","211.91","212.59","209.16","432.76M","-0.47%"
"2015- 06- 14","210.81","208.64","213.34","207.79","632.75M","0.38%"
"2015- 06- 07","210.01","209.64","212.09","207.69","537.91M","0.11%"
"2015- 05- 31","209.77","211.94","212.67","208.98","546.28M","-0.65%"
"2015- 05- 24","211.14","212.40","212.98","210.20","417.42M","-0.87%"
"2015- 05- 17","212.99","212.24","213.78","212.16","345.72M","0.26%"
"2015- 05- 10","212.44","211.57","212.61","208.62","462.55M","0.39%"
"2015- 05- 03","211.62","211.23","212.02","206.76","563.44M","0.43%"
"2015- 04- 26","210.72","212.33","212.48","207.62","556.61M","-0.44%"
"2015- 04- 19","211.65","209.06","211.97","208.90","406.93M","1.78%"
"2015- 04- 12","207.95","209.87","211.04","207.01","509.11M","-1.00%"
"2015- 04- 05","210.04","205.37","210.09","205.21","443.23M","1.74%"
"2015- 03- 29","206.44","206.98","208.61","204.51","447.15M","0.34%"
"2015- 03- 22","205.74","210.42","211.11","204.12","581.12M","-2.22%"
"2015- 03- 15","210.41","206.71","211.27","205.86","755.05M","2.23%"
"2015- 03- 08","205.83","207.74","208.79","204.40","613.49M","-0.80%"
"2015- 03- 01","207.50","210.78","212.06","207.10","577.32M","-1.50%"
"2015- 02- 22","210.66","210.94","212.24","210.48","400.72M","-0.27%"
"2015- 02- 15","211.24","209.40","211.33","208.73","389.98M","0.70%"
"2015- 02- 08","209.78","204.77","209.84","204.13","465.69M","2.06%"
"2015- 02- 01","205.55","200.05","207.24","197.86","645.25M","3.06%"
"2015- 01- 25","199.45","204.71","205.56","198.68","765.88M","-2.69%"
"2015- 01- 18","204.97","202.40","206.26","200.17","545.81M","1.66%"
"2015- 01- 11","201.63","204.41","205.48","198.55","940.43M","-1.28%"
"2015- 01- 04","204.25","204.17","206.42","198.85","809.92M","-0.57%"
"2014- 12- 28","205.43","208.22","208.97","204.18","404.98M","-1.44%"
"2014- 12- 21","208.44","206.75","208.85","206.46","370.78M","0.93%"
"2014- 12- 14","206.52","201.98","212.97","197.86","1.21B","2.80%"
"2014- 12- 07","200.89","207.52","208.12","200.85","754.97M","-3.42%"
"2014- 11- 30","208.00","206.40","208.47","205.38","429.77M","0.39%"
"2014- 11- 23","207.20","207.17","207.87","206.80","265.05M","0.25%"
"2014- 11- 16","206.68","203.85","207.84","203.65","454.05M","1.19%"
"2014- 11- 09","204.24","203.38","204.83","203.13","376.71M","0.44%"
"2014- 11- 02","203.34","201.92","203.60","200.06","475.41M","0.83%"
"2014- 10- 26","201.66","195.73","201.82","195.03","592.48M","2.66%"
"2014- 10- 19","196.43","188.13","196.49","188.07","709.65M","4.22%"
"2014- 10- 12","188.47","190.46","191.15","181.92","1.31B","-1.09%"
"2014- 10- 05","190.54","197.34","197.60","190.49","871.77M","-3.04%"
"2014- 09- 28","196.52","196.20","198.30","192.35","683.07M","-0.70%"
"2014- 09- 21","197.90","200.35","200.38","196.27","598.07M","-1.40%"
"2014- 09- 14","200.70","199.16","201.90","198.38","560.51M","0.79%"
