"날짜","종가","시가","고가","저가","거래량","변동 %"
"2018- 11- 25","21,115","20,710","21,510","20,710","516.40K","2.20%"
"2018- 11- 18","20,660","21,055","21,225","20,615","1.33M","-1.81%"
"2018- 11- 11","21,040","20,845","21,135","20,410","870.49K","0.19%"
"2018- 11- 04","21,000","20,950","21,330","20,625","778.14K","-0.38%"
"2018- 10- 28","21,080","20,425","21,100","19,975","966.66K","3.16%"
"2018- 10- 21","20,435","21,480","21,765","20,220","1.34M","-5.63%"
"2018- 10- 14","21,655","21,750","21,960","21,300","1.09M","-0.53%"
"2018- 10- 07","21,770","22,780","23,725","21,405","1.80M","-4.64%"
"2018- 09- 30","22,830","23,655","23,660","22,670","1.20M","-3.24%"
"2018- 09- 23","23,595","23,400","23,715","23,400","308.56K","0.40%"
"2018- 09- 16","23,500","23,245","23,500","23,000","1.23M","1.10%"
"2018- 09- 09","23,245","22,900","23,270","22,790","339.92K","1.46%"
"2018- 09- 02","22,910","23,215","23,285","22,750","141.16K","-1.82%"
"2018- 08- 26","23,335","23,025","23,335","23,000","480.60K","1.41%"
"2018- 08- 19","23,010","22,620","23,035","22,550","157.17K","1.93%"
"2018- 08- 12","22,575","22,815","22,815","22,295","573.97K","-1.61%"
"2018- 08- 05","22,945","23,020","23,180","22,850","384.46K","-0.20%"
"2018- 07- 29","22,990","23,030","23,225","22,740","260.16K","-0.28%"
"2018- 07- 22","23,055","23,005","23,055","22,705","2.00M","0.20%"
"2018- 07- 15","23,010","23,255","23,275","22,765","267.64K","-0.93%"
"2018- 07- 08","23,225","22,860","23,260","22,720","1.12M","1.60%"
"2018- 07- 01","22,860","23,360","23,380","22,550","448.63K","-2.27%"
"2018- 06- 24","23,390","23,640","23,685","23,040","161.33K","-1.08%"
"2018- 06- 17","23,645","24,020","24,130","23,255","655.20K","-1.99%"
"2018- 06- 10","24,125","24,575","24,835","24,125","226.06K","-1.91%"
"2018- 06- 03","24,595","24,480","24,810","24,395","14.21K","0.55%"
"2018- 05- 27","24,460","24,745","24,870","24,050","247.07K","-0.85%"
"2018- 05- 20","24,670","24,630","24,835","24,455","979.43K","0.02%"
"2018- 05- 13","24,665","24,810","24,905","24,440","1.51M","-0.72%"
"2018- 05- 06","24,845","24,780","24,900","24,310","236.56K","0.57%"
"2018- 04- 29","24,705","25,070","25,225","24,665","397.45K","-1.18%"
"2018- 04- 22","25,000","25,160","25,230","24,755","25.55K","-0.75%"
"2018- 04- 15","25,190","25,000","25,275","24,855","69.57K","1.00%"
"2018- 04- 08","24,940","24,670","24,985","24,565","86.59K","1.09%"
"2018- 04- 01","24,670","24,875","25,060","24,480","82.66K","-0.92%"
"2018- 03- 25","24,900","24,605","25,055","24,340","312.25K","1.49%"
"2018- 03- 18","24,535","25,190","25,485","24,435","891.08K","-3.14%"
"2018- 03- 11","25,330","25,265","25,340","25,065","71.42K","1.36%"
"2018- 03- 04","24,990","24,425","25,125","24,125","161.57K","2.44%"
"2018- 02- 25","24,395","25,030","25,185","24,275","434.99K","-1.75%"
"2018- 02- 18","24,830","24,840","24,965","24,390","646.20K","0.91%"
"2018- 02- 11","24,605","24,295","24,695","24,025","454.75K","2.48%"
"2018- 02- 04","24,010","25,375","25,480","23,855","1.09M","-6.56%"
"2018- 01- 28","25,695","26,215","26,410","25,615","1.82M","-1.61%"
"2018- 01- 21","26,115","25,405","26,115","25,280","810.18K","1.89%"
"2018- 01- 14","25,630","25,565","25,735","25,380","851.67K","0.83%"
"2018- 01- 07","25,420","25,440","25,630","25,220","651.41K","0.04%"
"2017- 12- 31","25,410","25,100","25,410","25,035","1.51M","1.32%"
"2017- 12- 24","25,080","24,450","25,080","24,390","402.36K","2.24%"
"2017- 12- 17","24,530","24,870","25,065","24,345","579.99K","-1.39%"
"2017- 12- 10","24,875","24,770","25,220","24,595","236.04K","0.61%"
"2017- 12- 03","24,725","24,885","25,195","24,630","39.12K","-0.62%"
"2017- 11- 26","24,880","25,580","25,580","24,830","271.53K","-2.37%"
"2017- 11- 19","25,485","25,470","25,630","25,320","1.48M","0.14%"
"2017- 11- 12","25,450","25,500","25,690","25,170","683.92K","-0.10%"
"2017- 11- 05","25,475","25,600","25,675","25,400","828.36K","-0.62%"
"2017- 10- 29","25,635","25,140","25,675","25,040","840.33K","2.46%"
"2017- 10- 22","25,020","25,000","25,065","24,860","770.62K","0.20%"
"2017- 10- 15","24,970","24,895","25,030","24,750","739.35K","0.81%"
"2017- 10- 08","24,770","24,305","24,890","24,280","1.00M","3.08%"
"2017- 09- 24","24,030","23,980","24,030","23,705","1.16M","0.54%"
"2017- 09- 17","23,900","23,925","24,285","23,845","996.12K","-0.02%"
"2017- 09- 10","23,905","23,540","23,905","23,540","809.67K","1.98%"
"2017- 09- 03","23,440","23,115","23,570","23,115","2.08M","-0.66%"
"2017- 08- 27","23,595","23,810","23,880","23,450","2.23M","-0.92%"
"2017- 08- 20","23,815","23,715","23,900","23,565","1.79M","0.51%"
"2017- 08- 13","23,695","23,345","23,725","23,345","1.54M","1.65%"
"2017- 08- 06","23,310","24,000","24,180","23,205","2.43M","-2.88%"
"2017- 07- 30","24,000","24,005","24,430","23,855","2.90M","-0.52%"
"2017- 07- 23","24,125","24,535","24,610","24,100","2.36M","-1.61%"
"2017- 07- 16","24,520","24,300","24,615","24,250","1.35M","1.32%"
"2017- 07- 09","24,200","23,915","24,325","23,840","1.70M","1.19%"
"2017- 07- 02","23,915","24,030","24,125","23,815","1.27M","-0.48%"
"2017- 06- 25","24,030","23,820","24,150","23,805","692.94K","1.05%"
"2017- 06- 18","23,780","23,610","23,870","23,505","24.14K","0.53%"
"2017- 06- 11","23,655","23,805","23,950","23,555","82.20K","-1.13%"
"2017- 06- 04","23,925","23,790","23,950","23,580","410.37K","0.57%"
"2017- 05- 28","23,790","23,645","23,805","23,390","460.60K","0.61%"
"2017- 05- 21","23,645","23,110","23,740","22,965","93.70K","3.05%"
"2017- 05- 14","22,945","22,875","23,155","22,770","1.01M","0.04%"
"2017- 05- 07","22,935","22,515","23,265","22,400","175.73K","2.23%"
"2017- 04- 30","22,435","22,110","22,435","22,100","113.17K","1.58%"
"2017- 04- 23","22,085","22,020","22,420","21,920","96.87K","0.48%"
"2017- 04- 16","21,980","21,635","22,025","21,625","325.41K","1.29%"
"2017- 04- 09","21,700","21,795","21,795","21,465","4.23M","-0.44%"
"2017- 04- 02","21,795","21,905","22,035","21,715","1.87M","-0.82%"
"2017- 03- 26","21,975","21,965","22,030","21,820","1.20M","0.00%"
"2017- 03- 19","21,975","21,975","22,145","21,780","1.53M","0.25%"
"2017- 03- 12","21,920","21,250","21,935","21,220","1.11M","3.15%"
"2017- 03- 05","21,250","21,045","21,280","20,980","1.35M","0.59%"
"2017- 02- 26","21,125","21,220","21,410","21,005","460.34K","-0.63%"
"2017- 02- 19","21,260","21,075","21,405","21,040","700.24K","0.88%"
"2017- 02- 12","21,075","21,045","21,195","20,975","695.06K","0.02%"
"2017- 02- 05","21,070","21,105","21,175","20,800","817.90K","0.26%"
"2017- 01- 29","21,015","21,085","21,175","20,920","465.48K","-0.54%"
"2017- 01- 22","21,130","20,965","21,150","20,855","437.88K","0.84%"
"2017- 01- 15","20,955","21,015","21,195","20,840","804.43K","-0.57%"
"2017- 01- 08","21,075","20,740","21,105","20,675","1.47M","1.27%"
"2017- 01- 01","20,810","20,555","20,820","20,425","611.95K","1.17%"
"2016- 12- 25","20,570","20,295","20,620","20,285","1.64M","1.08%"
"2016- 12- 18","20,350","20,320","20,495","20,260","676.92K","0.12%"
"2016- 12- 11","20,325","20,175","20,415","20,100","610.88K","0.74%"
"2016- 12- 04","20,175","19,670","20,205","19,565","610.70K","2.44%"
"2016- 11- 27","19,695","19,750","19,870","19,600","1.59M","-0.28%"
"2016- 11- 20","19,750","19,670","19,925","19,615","1.05M","0.13%"
"2016- 11- 13","19,725","19,830","19,880","19,600","637.11K","-0.53%"
"2016- 11- 06","19,830","19,910","20,090","19,310","1.06M","0.13%"
"2016- 10- 30","19,805","20,110","20,135","19,680","823.01K","-1.57%"
"2016- 10- 23","20,120","20,350","20,410","20,000","620.06K","-0.91%"
"2016- 10- 16","20,305","20,235","20,435","20,090","542.19K","0.37%"
"2016- 10- 09","20,230","20,475","20,560","20,095","540.28K","-1.39%"
"2016- 10- 02","20,515","20,440","20,650","20,330","1.63M","0.34%"
"2016- 09- 25","20,445","20,490","20,675","20,245","755.76K","-0.22%"
"2016- 09- 18","20,490","19,995","20,585","19,950","666.70K","2.58%"
"2016- 09- 11","19,975","20,030","20,105","19,905","597.25K","-1.89%"
"2016- 09- 04","20,360","20,435","20,690","20,285","1.21M","0.05%"
"2016- 08- 28","20,350","20,290","20,460","20,165","1.35M","-0.10%"
"2016- 08- 21","20,370","20,540","20,540","20,220","2.07M","-0.88%"
"2016- 08- 14","20,550","20,575","20,610","20,265","874.01K","0.46%"
"2016- 08- 07","20,455","20,215","20,550","20,175","802.00K","1.61%"
"2016- 07- 31","20,130","20,185","20,285","19,905","467.66K","-0.27%"
"2016- 07- 24","20,185","20,130","20,285","20,010","721.49K","0.47%"
"2016- 07- 17","20,090","20,190","20,200","19,980","461.29K","-0.30%"
"2016- 07- 10","20,150","19,765","20,200","19,725","528.70K","2.65%"
"2016- 07- 03","19,630","19,850","19,960","19,440","585.67K","-1.03%"
"2016- 06- 26","19,835","18,990","19,910","18,990","508.50K","2.96%"
"2016- 06- 19","19,265","19,640","19,985","18,870","591.83K","-1.38%"
"2016- 06- 12","19,535","20,015","20,015","19,440","495.81K","-2.98%"
"2016- 06- 05","20,135","19,895","20,305","19,875","1.24M","1.64%"
"2016- 05- 29","19,810","19,650","19,860","19,535","549.60K","0.81%"
"2016- 05- 22","19,650","19,470","19,695","19,360","646.02K","0.95%"
"2016- 05- 15","19,465","19,610","19,690","19,400","1.11M","-1.02%"
"2016- 05- 08","19,665","19,730","19,875","19,580","1.05M","-0.35%"
"2016- 05- 01","19,735","19,915","19,915","19,695","759.34K","-1.10%"
"2016- 04- 24","19,955","20,400","20,495","19,810","1.03M","-2.44%"
"2016- 04- 17","20,455","20,310","20,535","20,245","1.18M","0.20%"
"2016- 04- 10","20,415","20,005","20,460","19,880","1.06M","1.97%"
"2016- 04- 03","20,020","20,040","20,100","19,830","1.16M","-0.02%"
"2016- 03- 27","20,025","20,155","20,365","19,940","1.41M","-0.27%"
"2016- 03- 20","20,080","20,220","20,330","20,075","1.42M","-0.59%"
"2016- 03- 13","20,200","20,095","20,250","19,910","1.63M","1.15%"
"2016- 03- 06","19,970","19,855","20,050","19,610","1.55M","0.63%"
"2016- 02- 28","19,845","19,500","19,895","19,405","1.25M","2.16%"
"2016- 02- 21","19,425","19,300","19,575","19,285","1.58M","0.31%"
"2016- 02- 14","19,365","18,770","19,370","18,740","1.41M","4.11%"
"2016- 02- 07","18,600","18,820","19,080","18,460","694.24K","-4.39%"
"2016- 01- 31","19,455","19,460","19,530","19,055","1.31M","0.54%"
"2016- 01- 24","19,350","19,110","19,350","18,910","1.15M","1.65%"
"2016- 01- 17","19,035","18,850","19,115","18,565","1.51M","-0.24%"
"2016- 01- 10","19,080","19,175","19,485","19,000","1.25M","-1.93%"
"2016- 01- 03","19,455","19,855","19,855","19,120","1.18M","-2.14%"
"2015- 12- 27","19,880","19,900","20,025","19,645","684.25K","-0.15%"
"2015- 12- 20","19,910","19,805","20,100","19,685","748.93K","0.56%"
"2015- 12- 13","19,800","19,285","19,885","19,205","1.08M","1.69%"
"2015- 12- 06","19,470","19,810","19,810","19,375","1.19M","-1.42%"
"2015- 11- 29","19,750","20,145","20,225","19,695","902.79K","-2.52%"
"2015- 11- 22","20,260","19,955","20,380","19,955","1.04M","2.09%"
"2015- 11- 15","19,845","19,460","19,910","19,420","1.03M","0.48%"
"2015- 11- 08","19,750","20,300","20,355","19,700","1.05M","-3.23%"
"2015- 11- 01","20,410","20,325","20,545","20,295","919.06K","0.22%"
