"날짜","종가","시가","고가","저가","거래량","변동 %"
"2019- 11- 24","151.38","150.00","152.50","149.92","74.24M","1.20%"
"2019- 11- 17","149.59","150.07","151.33","148.46","105.65M","-0.25%"
"2019- 11- 10","149.97","145.34","149.99","144.73","93.73M","2.75%"
"2019- 11- 03","145.96","144.83","145.99","143.20","86.28M","1.56%"
"2019- 10- 27","143.72","144.40","145.67","142.65","132.10M","2.12%"
"2019- 10- 20","140.73","138.45","141.14","135.61","143.27M","2.42%"
"2019- 10- 13","137.41","139.69","141.79","136.56","108.74M","-1.63%"
"2019- 10- 06","139.68","137.14","141.03","135.62","107.51M","1.13%"
"2019- 09- 29","138.12","138.05","140.25","133.22","123.23M","0.28%"
"2019- 09- 22","137.73","139.23","140.69","136.03","110.28M","-1.23%"
"2019- 09- 15","139.44","135.83","142.37","135.66","135.32M","1.54%"
"2019- 09- 08","137.32","139.59","139.75","134.51","129.78M","-1.28%"
"2019- 09- 01","139.10","136.61","140.38","135.70","83.84M","0.90%"
"2019- 08- 25","137.86","134.99","139.18","133.55","104.98M","3.35%"
"2019- 08- 18","133.39","137.85","139.49","132.80","117.77M","-2.01%"
"2019- 08- 11","136.13","137.07","138.80","132.25","131.66M","-1.15%"
"2019- 08- 04","137.71","133.30","139.38","130.78","159.82M","0.59%"
"2019- 07- 28","136.90","141.50","141.51","135.08","143.40M","-3.14%"
"2019- 07- 21","141.34","137.41","141.68","137.33","101.25M","3.45%"
"2019- 07- 14","136.62","139.44","140.67","134.67","139.39M","-1.64%"
"2019- 07- 07","138.90","136.40","139.22","135.37","102.20M","1.34%"
"2019- 06- 30","137.06","136.63","137.74","134.97","69.66M","2.31%"
"2019- 06- 23","133.96","137.00","138.40","132.73","124.21M","-2.20%"
"2019- 06- 16","136.97","132.63","137.73","132.53","133.97M","3.41%"
"2019- 06- 09","132.45","132.40","134.24","130.71","102.51M","0.80%"
"2019- 06- 02","131.40","123.85","132.25","119.01","147.64M","6.24%"
"2019- 05- 26","123.68","126.98","128.00","123.32","89.37M","-2.03%"
"2019- 05- 19","126.24","126.52","128.24","124.74","92.12M","-1.43%"
"2019- 05- 12","128.07","124.11","130.46","123.04","139.82M","0.74%"
"2019- 05- 05","127.13","126.39","128.56","123.57","146.83M","-1.37%"
"2019- 04- 28","128.90","129.90","130.70","125.52","119.57M","-0.76%"
"2019- 04- 21","129.89","122.62","131.37","122.57","132.62M","5.28%"
"2019- 04- 14","123.37","120.94","123.52","120.10","77.16M","2.00%"
"2019- 04- 07","120.95","119.81","120.98","118.58","83.16M","0.88%"
"2019- 03- 31","119.89","118.95","120.43","118.10","99.73M","1.65%"
"2019- 03- 24","117.94","116.56","118.70","115.52","119.63M","0.76%"
"2019- 03- 17","117.05","116.17","120.82","116.05","160.39M","0.98%"
"2019- 03- 10","115.91","110.99","117.25","110.98","173.53M","4.89%"
"2019- 03- 03","110.51","113.02","113.25","108.80","111.99M","-1.80%"
"2019- 02- 24","112.53","111.76","113.24","110.88","119.36M","1.41%"
"2019- 02- 17","110.97","107.79","111.20","106.29","96.47M","2.54%"
"2019- 02- 10","108.22","106.20","108.30","104.97","110.76M","2.41%"
"2019- 02- 03","105.67","102.87","107.27","102.77","130.47M","2.81%"
