"날짜","종가","시가","고가","저가","거래량","변동 %"
"2019- 03- 10","52.27","51.21","52.36","51.21","6.98M","2.45%"
"2019- 03- 03","51.02","52.22","52.30","50.66","4.54M","-1.96%"
"2019- 02- 24","52.04","52.35","52.38","51.60","3.85M","-0.10%"
"2019- 02- 17","52.09","51.66","52.10","51.55","2.90M","0.72%"
"2019- 02- 10","51.72","50.33","51.73","50.15","3.61M","3.07%"
"2019- 02- 03","50.18","49.93","50.59","49.72","3.90M","0.50%"
"2019- 01- 27","49.93","48.74","50.06","48.48","5.28M","1.69%"
"2019- 01- 20","49.10","49.01","49.30","48.26","4.75M","-0.28%"
"2019- 01- 13","49.24","48.15","49.33","47.86","6.46M","1.74%"
"2019- 01- 06","48.40","47.38","48.47","47.05","6.33M","2.28%"
"2018- 12- 30","47.32","46.82","47.41","45.95","8.15M","1.59%"
"2018- 12- 23","46.58","45.21","47.20","44.03","13.91M","2.35%"
"2018- 12- 16","45.51","48.33","48.41","45.39","17.21M","-6.11%"
"2018- 12- 09","48.47","49.30","50.07","48.34","8.09M","-1.56%"
"2018- 12- 02","49.24","52.07","52.11","49.02","6.42M","-4.48%"
"2018- 11- 25","51.55","49.75","51.60","49.62","4.37M","4.33%"
"2018- 11- 18","49.41","50.98","51.11","49.30","3.94M","-3.17%"
"2018- 11- 11","51.03","51.44","51.48","49.97","5.60M","-0.95%"
"2018- 11- 04","51.52","50.39","51.95","50.35","4.31M","2.45%"
"2018- 10- 28","50.29","49.43","50.78","48.51","6.04M","2.70%"
"2018- 10- 21","48.97","50.64","50.71","48.58","6.98M","-3.14%"
"2018- 10- 14","50.56","50.42","51.31","50.21","3.98M","0.12%"
"2018- 10- 07","50.50","52.60","53.02","49.88","6.89M","-4.16%"
"2018- 09- 30","52.69","53.16","53.63","52.51","3.46M","-0.58%"
"2018- 09- 23","53.00","54.07","54.07","52.77","2.86M","-2.12%"
"2018- 09- 16","54.15","53.48","54.29","53.36","2.95M","1.29%"
"2018- 09- 09","53.46","53.15","53.49","52.94","2.51M","0.94%"
"2018- 09- 02","52.96","52.63","53.24","52.51","2.00M","0.47%"
"2018- 08- 26","52.71","52.73","53.00","52.46","2.43M","0.29%"
"2018- 08- 19","52.56","52.48","52.69","52.30","2.33M","0.38%"
"2018- 08- 12","52.36","51.53","52.48","51.04","2.52M","1.73%"
"2018- 08- 05","51.47","51.71","52.02","51.33","3.19M","-0.48%"
"2018- 07- 29","51.72","51.08","51.77","50.83","2.62M","1.21%"
"2018- 07- 22","51.10","50.59","51.51","50.45","2.57M","0.99%"
"2018- 07- 15","50.60","50.58","50.76","50.35","1.84M","0.04%"
