"Date","Price","Open","High","Low","Vol.","Change %"
"04/09/2023","165.21","161.42","166.32","159.78","263.33M","0.33%"
"04/02/2023","164.66","164.27","166.84","161.80","200.16M","-0.15%"
"03/26/2023","164.90","159.94","165.00","155.98","267.94M","2.90%"
"03/19/2023","160.25","155.07","162.14","154.15","350.16M","3.39%"
"03/12/2023","155.00","147.80","156.74","147.70","410.52M","4.38%"
"03/05/2023","148.50","153.79","156.30","147.61","313.35M","-1.68%"
"02/26/2023","151.03","147.71","151.11","143.90","274.04M","2.94%"
"02/19/2023","146.71","150.20","151.30","145.72","213.74M","-3.83%"
"02/12/2023","152.55","150.95","156.33","150.85","316.89M","1.02%"
"02/05/2023","151.01","152.57","155.23","149.22","330.76M","-2.26%"
"01/29/2023","154.50","144.96","157.38","141.32","480.25M","5.87%"
"01/22/2023","145.93","138.12","147.23","137.90","338.66M","5.85%"
"01/15/2023","137.87","134.83","138.61","133.77","271.82M","2.31%"
"01/08/2023","134.76","130.46","134.92","128.12","333.34M","3.97%"
"01/01/2023","129.62","130.28","130.90","124.17","369.95M","-0.24%"
"12/25/2022","129.93","131.38","131.41","125.87","307.18M","-1.46%"
"12/18/2022","131.86","135.11","136.81","129.64","384.62M","-1.97%"
"12/11/2022","134.51","142.70","149.97","133.73","505.73M","-5.38%"
"12/04/2022","142.16","147.77","150.92","140.00","341.50M","-3.82%"
"11/27/2022","147.81","145.14","149.13","140.35","401.19M","-0.20%"
"11/20/2022","148.11","150.16","151.83","146.93","204.02M","-2.10%"
"11/13/2022","151.29","148.97","153.59","146.15","382.68M","1.06%"
"11/06/2022","149.70","137.11","150.01","134.59","461.04M","8.18%"
"10/30/2022","138.38","153.15","155.45","134.38","510.66M","-11.15%"
"10/23/2022","155.74","147.18","157.50","144.13","513.09M","5.75%"
"10/16/2022","147.27","141.07","147.85","140.27","397.22M","6.42%"
"10/09/2022","138.38","140.42","144.52","134.37","424.19M","-1.22%"
"10/02/2022","140.09","138.21","147.54","137.68","435.94M","1.37%"
"09/25/2022","138.20","149.66","154.72","138.00","577.54M","-8.13%"
"09/18/2022","150.43","149.31","158.74","148.56","473.54M","-0.18%"
"09/11/2022","150.70","159.59","164.26","148.37","568.34M","-4.24%"
"09/04/2022","157.37","156.47","157.82","152.68","314.17M","1.00%"
"08/28/2022","155.81","161.15","162.90","154.67","390.40M","-4.77%"
"08/21/2022","163.62","169.69","171.05","163.56","307.20M","-4.61%"
"08/14/2022","171.52","171.52","176.15","171.31","322.65M","-0.34%"
"08/07/2022","172.10","166.37","172.17","163.25","318.86M","4.08%"
"07/31/2022","165.35","161.01","167.19","159.63","322.42M","1.75%"
"07/24/2022","162.51","154.01","163.63","150.80","370.55M","5.46%"
"07/17/2022","154.09","150.74","156.28","146.70","360.99M","2.61%"
"07/10/2022","150.17","145.67","150.86","142.12","366.48M","2.13%"
"07/03/2022","147.04","137.77","147.55","136.93","278.30M","5.84%"
"06/26/2022","138.93","142.70","143.49","133.77","373.78M","-1.93%"
"06/19/2022","141.66","133.42","141.91","133.32","315.96M","7.68%"
"06/12/2022","131.56","132.87","137.34","129.04","541.01M","-4.06%"
"06/05/2022","137.13","147.03","149.87","137.06","354.40M","-5.67%"
"05/29/2022","145.38","149.07","151.74","144.46","338.92M","-2.85%"
"05/22/2022","149.64","137.79","149.68","137.14","495.92M","8.76%"
"05/15/2022","137.59","145.55","149.77","132.61","548.24M","-6.47%"
"05/08/2022","147.11","154.93","156.74","138.80","686.23M","-6.47%"
"05/01/2022","157.28","156.71","166.48","153.27","566.93M","-0.23%"
"04/24/2022","157.65","161.12","166.20","155.38","541.70M","-2.56%"
"04/17/2022","161.79","163.92","171.53","161.50","376.79M","-2.12%"
"04/10/2022","165.29","168.71","171.27","165.04","297.46M","-2.82%"
"04/03/2022","170.09","174.57","178.49","169.20","393.18M","-2.42%"
"03/27/2022","174.31","172.17","179.61","171.94","465.40M","-0.23%"
"03/20/2022","174.72","163.51","175.28","163.01","446.08M","6.55%"
"03/13/2022","163.98","151.45","164.48","150.10","503.12M","5.98%"
"03/06/2022","154.73","163.36","165.02","154.50","521.33M","-5.17%"
"02/27/2022","163.17","163.06","168.91","161.97","418.75M","-1.02%"
"02/20/2022","164.85","164.98","166.69","152.00","414.29M","-1.46%"
"02/13/2022","167.30","167.37","173.34","166.19","364.01M","-0.79%"
"02/06/2022","168.64","172.86","176.65","168.04","412.90M","-2.18%"
"01/30/2022","172.39","170.16","176.24","169.51","458.55M","1.21%"
"01/23/2022","170.33","160.02","170.35","154.70","688.67M","4.88%"
"01/16/2022","162.41","171.51","172.54","162.30","400.25M","-6.16%"
"01/09/2022","173.07","169.08","177.18","168.17","422.66M","0.52%"
"01/02/2022","172.17","177.83","182.94","171.03","482.16M","-3.04%"
"12/26/2021","177.57","177.09","181.33","177.07","340.25M","0.73%"
"12/19/2021","176.28","168.28","176.85","167.46","359.18M","3.00%"
"12/12/2021","171.14","181.12","182.13","169.69","769.79M","-4.63%"
"12/05/2021","179.45","164.29","179.63","164.28","569.23M","10.88%"
"11/28/2021","161.84","159.37","170.30","157.80","669.98M","3.21%"
"11/21/2021","156.81","161.68","165.70","156.36","359.93M","-2.33%"
"11/14/2021","160.55","150.37","161.02","149.34","462.42M","7.04%"
"11/07/2021","149.99","151.41","151.57","147.48","281.80M","-0.85%"
"10/31/2021","151.28","148.99","152.43","147.80","324.08M","0.99%"
"10/24/2021","149.80","148.68","153.16","146.41","392.74M","0.75%"
"10/17/2021","148.69","143.45","150.18","143.16","340.69M","2.66%"
"10/10/2021","144.84","142.27","144.90","139.20","354.10M","1.36%"
"10/03/2021","142.90","141.76","144.21","138.27","382.91M","0.18%"
"09/26/2021","142.65","145.47","145.96","139.11","441.42M","-2.91%"
"09/19/2021","146.92","143.80","147.47","141.27","394.03M","0.59%"
"09/12/2021","146.06","150.63","151.42","145.76","492.88M","-1.95%"
"09/05/2021","148.97","154.97","157.26","148.70","354.90M","-3.45%"
"08/29/2021","154.30","149.00","154.98","148.61","386.76M","3.84%"
"08/22/2021","148.60","148.31","150.86","146.83","272.13M","0.28%"
"08/15/2021","148.19","148.54","151.68","144.50","429.62M","-0.61%"
"08/08/2021","149.10","146.20","149.44","145.30","299.58M","2.03%"
"08/01/2021","146.14","146.36","148.04","145.18","284.56M","0.19%"
"07/25/2021","145.86","148.27","149.83","142.54","423.32M","-1.82%"
"07/18/2021","148.56","143.75","148.72","141.67","441.56M","1.48%"
"07/11/2021","146.39","146.21","150.00","143.63","504.25M","0.88%"
"07/04/2021","145.11","140.07","145.65","140.07","418.56M","3.68%"
"06/27/2021","139.96","133.41","140.00","133.35","321.36M","5.15%"
"06/20/2021","133.11","130.30","134.64","129.21","354.16M","2.03%"
"06/13/2021","130.46","127.82","132.55","127.07","457.14M","2.44%"
"06/06/2021","127.35","126.17","128.46","124.83","327.05M","1.16%"
"05/30/2021","125.89","125.08","126.16","123.13","278.31M","1.03%"
"05/23/2021","124.61","126.01","128.32","124.55","357.62M","-0.65%"
"05/16/2021","125.43","126.82","128.00","122.86","386.35M","-1.58%"
"05/09/2021","127.45","129.41","129.54","122.25","514.17M","-2.12%"
"05/02/2021","130.21","132.04","134.07","126.70","453.80M","-0.95%"
"04/25/2021","131.46","134.83","137.07","131.07","501.62M","-2.13%"
"04/18/2021","134.32","133.51","135.53","131.30","421.25M","0.12%"
"04/11/2021","134.16","132.52","135.00","130.63","444.18M","0.88%"
"04/04/2021","132.99","123.87","133.04","123.07","447.82M","8.13%"
"03/28/2021","123.00","121.65","124.18","118.86","359.90M","1.48%"
"03/21/2021","121.21","120.33","124.24","118.92","488.83M","1.02%"
"03/14/2021","119.99","121.41","127.22","119.68","626.77M","-0.86%"
"03/07/2021","121.03","120.93","123.21","116.21","586.98M","-0.32%"
"02/28/2021","121.42","123.75","128.72","117.57","663.46M","0.13%"
"02/21/2021","121.26","128.01","129.72","118.39","685.99M","-6.63%"
"02/14/2021","129.87","135.49","136.01","127.41","363.19M","-4.06%"
"02/07/2021","135.37","136.03","137.88","133.69","345.54M","-1.02%"
"01/31/2021","136.76","133.75","137.42","130.93","439.30M","3.64%"
"01/24/2021","131.96","143.07","145.09","130.21","716.99M","-5.11%"
"01/17/2021","139.07","127.78","139.85","126.94","430.07M","9.38%"
"01/10/2021","127.14","129.19","131.45","126.86","483.03M","-3.72%"
"01/03/2021","132.05","133.52","133.61","126.38","610.79M","-0.48%"
"12/27/2020","132.69","133.99","138.79","131.72","441.10M","0.55%"
"12/20/2020","131.97","125.02","134.40","123.45","433.76M","4.20%"
"12/13/2020","126.65","122.60","129.58","121.54","621.76M","3.47%"
"12/06/2020","122.41","122.31","125.95","120.15","452.28M","0.13%"
"11/29/2020","122.25","116.97","123.78","116.81","543.81M","4.85%"
"11/22/2020","116.59","117.18","117.62","112.59","365.02M","-0.64%"
"11/15/2020","117.34","118.92","120.99","116.81","389.49M","-1.61%"
"11/08/2020","119.26","120.50","121.99","114.13","589.87M","0.48%"
"11/01/2020","118.69","109.11","119.62","107.32","609.57M","9.03%"
"10/25/2020","108.86","114.01","117.28","107.72","684.77M","-5.37%"
"10/18/2020","115.04","119.96","120.42","114.28","519.57M","-3.34%"
"10/11/2020","119.02","120.06","125.39","118.15","881.57M","1.75%"
"10/04/2020","116.97","113.91","117.00","112.25","548.57M","3.49%"
"09/27/2020","113.02","115.01","117.72","112.22","641.24M","0.66%"
"09/20/2020","112.28","104.54","112.86","103.10","847.21M","5.09%"
"09/13/2020","106.84","114.72","118.83","106.09","944.93M","-4.61%"
"09/06/2020","112.00","113.95","120.50","110.00","771.44M","-7.41%"
"08/30/2020","120.96","127.58","137.98","110.89","1.17B","-3.08%"
"08/23/2020","124.81","128.70","128.79","123.05","1.06B","0.35%"
"08/16/2020","124.37","116.06","124.87","113.96","835.69M","8.23%"
"08/09/2020","114.91","112.60","116.04","109.11","941.90M","3.42%"
"08/02/2020","111.11","108.20","114.41","107.89","1.00B","4.57%"
"07/26/2020","106.26","93.71","106.42","93.25","847.59M","14.73%"
"07/19/2020","92.61","96.42","99.25","89.14","665.41M","-3.85%"
"07/12/2020","96.33","97.26","99.96","93.88","718.60M","0.42%"
"07/05/2020","95.92","92.50","96.32","92.47","564.07M","5.37%"
"06/28/2020","91.03","88.31","92.62","87.82","495.65M","2.96%"
"06/21/2020","88.41","87.83","93.10","87.79","883.00M","1.12%"
"06/14/2020","87.43","83.31","89.14","83.14","779.94M","3.22%"
"06/07/2020","84.70","82.56","88.69","81.83","811.83M","2.20%"
"05/31/2020","82.88","79.44","82.94","79.30","497.96M","4.26%"
"05/24/2020","79.49","80.88","81.06","78.27","525.86M","-0.30%"
"05/17/2020","79.72","78.29","80.22","77.58","533.10M","3.63%"
"05/10/2020","76.93","77.03","79.92","75.05","834.15M","-0.78%"
"05/03/2020","77.53","72.29","77.59","71.58","672.92M","7.29%"
"04/26/2020","72.27","70.45","74.75","69.55","790.05M","2.16%"
"04/19/2020","70.74","69.49","70.75","66.36","679.39M","0.06%"
"04/12/2020","70.70","67.08","72.06","66.46","829.55M","5.53%"
"04/05/2020","67.00","62.72","67.93","62.35","735.72M","11.01%"
"03/29/2020","60.35","62.69","65.62","59.22","837.01M","-2.56%"
"03/22/2020","61.94","57.02","64.67","53.15","1.38B","8.07%"
"03/15/2020","57.31","60.49","64.77","57.00","1.62B","-17.53%"
"03/08/2020","69.49","65.94","71.61","62.00","1.62B","-3.83%"
"03/01/2020","72.26","70.57","76.00","69.43","1.29B","5.73%"
"02/23/2020","68.34","74.32","76.04","64.09","1.40B","-12.68%"
"02/16/2020","78.26","78.84","81.16","77.63","477.02M","-3.66%"
"02/09/2020","81.24","78.54","81.81","78.46","492.26M","1.54%"
"02/02/2020","80.01","76.07","81.31","75.56","652.54M","3.40%"
"01/26/2020","77.38","77.51","81.96","76.22","867.11M","-2.76%"
"01/19/2020","79.58","79.30","80.83","78.91","463.68M","-0.13%"
"01/12/2020","79.68","77.91","79.68","77.39","653.27M","2.71%"
"01/05/2020","77.58","73.45","78.17","73.19","673.81M","4.34%"
"12/29/2019","74.36","72.36","75.15","71.31","527.41M","2.63%"
"12/22/2019","72.45","70.13","73.49","70.09","386.90M","3.71%"
"12/15/2019","69.86","69.25","70.66","69.25","733.36M","1.56%"
"12/08/2019","68.79","67.50","68.82","66.23","569.63M","1.64%"
"12/01/2019","67.68","66.82","67.75","64.07","460.36M","1.29%"
"11/24/2019","66.81","65.68","67.00","65.63","301.62M","2.09%"
"11/17/2019","65.44","66.45","67.00","65.10","456.24M","-1.50%"
"11/10/2019","66.44","64.57","66.44","64.57","462.65M","2.16%"
"11/03/2019","65.04","64.33","65.11","63.84","424.06M","1.69%"
"10/27/2019","63.96","61.85","63.98","59.31","654.22M","3.75%"
"10/20/2019","61.65","59.38","61.68","59.33","405.08M","4.30%"
"10/13/2019","59.10","58.72","59.53","58.30","433.56M","0.08%"
"10/06/2019","59.05","56.57","59.41","56.08","600.62M","4.05%"
"09/29/2019","56.75","55.22","57.06","53.78","653.52M","3.74%"
"09/22/2019","54.71","54.74","55.62","54.29","471.14M","0.50%"
"09/15/2019","54.43","54.43","55.94","54.37","581.41M","-0.47%"
"09/08/2019","54.69","53.71","56.60","52.77","701.47M","2.57%"
"09/01/2019","53.31","51.61","53.60","51.06","330.34M","2.17%"
"08/25/2019","52.19","51.47","52.61","50.83","440.36M","3.01%"
"08/18/2019","50.66","52.65","53.61","50.25","568.27M","-1.87%"
"08/11/2019","51.63","49.90","53.03","49.79","653.06M","2.74%"
"08/04/2019","50.25","49.50","50.88","48.15","692.85M","-1.49%"
"07/28/2019","51.01","52.12","55.34","50.41","879.08M","-1.79%"
"07/21/2019","51.94","50.91","52.43","50.90","348.61M","2.54%"
"07/14/2019","50.65","51.02","51.63","50.59","349.73M","-0.35%"
"07/07/2019","50.83","50.20","51.10","49.60","406.40M","-0.46%"
"06/30/2019","51.06","50.79","51.27","50.16","291.52M","3.19%"
"06/23/2019","49.48","49.63","50.39","48.82","469.48M","-0.43%"
"06/16/2019","49.69","48.22","50.21","48.04","526.64M","3.13%"
"06/09/2019","48.19","47.95","49.20","47.58","447.37M","1.36%"
"06/02/2019","47.54","43.90","47.98","42.57","617.39M","8.61%"
"05/26/2019","43.77","44.73","45.15","43.75","418.77M","-2.18%"
"05/19/2019","44.74","45.88","47.00","44.45","627.88M","-5.31%"
"05/12/2019","47.25","46.93","48.12","45.71","745.66M","-4.15%"
"05/05/2019","49.29","51.07","52.21","48.19","694.65M","-6.88%"
"04/28/2019","52.94","51.10","53.83","49.78","745.82M","3.65%"
"04/21/2019","51.08","50.71","52.12","50.53","389.98M","0.22%"
"04/14/2019","50.97","49.65","51.04","49.50","385.34M","2.51%"
"04/07/2019","49.72","49.10","50.71","49.05","528.03M","0.95%"
"03/31/2019","49.25","47.91","49.28","47.10","446.16M","3.71%"
"03/24/2019","47.49","47.88","48.22","46.15","671.35M","-0.57%"
"03/17/2019","47.76","46.45","49.42","46.18","729.37M","2.64%"
"03/10/2019","46.53","43.87","46.83","43.84","632.53M","7.63%"
"03/03/2019","43.23","43.92","44.44","42.38","467.12M","-1.17%"
"02/24/2019","43.74","43.54","43.97","43.18","483.52M","1.16%"
"02/17/2019","43.24","42.43","43.33","42.37","325.00M","1.50%"
"02/10/2019","42.60","42.76","43.12","42.31","448.92M","0.00%"
"02/03/2019","42.60","41.85","43.89","41.82","605.59M","2.33%"
"01/27/2019","41.63","38.95","42.25","38.41","809.19M","5.55%"
"01/20/2019","39.44","39.10","39.53","37.92","450.06M","0.61%"
"01/13/2019","39.20","37.71","39.47","37.30","621.17M","2.97%"
"01/06/2019","38.07","37.17","38.63","36.48","814.82M","2.73%"
"12/30/2018","37.06","39.63","39.84","35.50","887.85M","-5.12%"
"12/23/2018","39.06","37.04","39.63","36.65","764.64M","3.66%"
"12/16/2018","37.68","41.36","42.09","37.41","1.15B","-8.92%"
"12/09/2018","41.37","41.25","43.14","40.83","870.15M","-1.78%"
"12/02/2018","42.12","46.12","46.23","42.08","670.09M","-5.67%"
"11/25/2018","44.65","43.56","45.70","42.56","855.00M","3.67%"
"11/18/2018","43.07","47.50","47.67","43.02","657.98M","-10.98%"
"11/11/2018","48.38","49.75","49.96","46.48","968.91M","-5.36%"
"11/04/2018","51.12","51.08","52.53","49.54","764.80M","-1.45%"
"10/28/2018","51.87","54.80","55.59","51.36","1.08B","-4.09%"
"10/21/2018","54.08","54.95","56.06","53.17","742.40M","-1.37%"
"10/14/2018","54.83","55.29","55.75","53.25","594.08M","-1.26%"
"10/07/2018","55.53","55.55","56.82","53.08","768.03M","-0.96%"
"09/30/2018","56.07","56.99","58.37","55.15","570.66M","-0.66%"
"09/23/2018","56.44","54.20","56.61","54.16","517.37M","3.73%"
"09/16/2018","54.41","55.54","55.74","53.83","874.98M","-2.77%"
"09/09/2018","55.96","55.24","57.09","54.12","793.00M","1.14%"
"09/02/2018","55.33","57.10","57.42","55.18","530.53M","-2.78%"
"08/26/2018","56.91","54.29","57.22","54.08","650.76M","5.31%"
"08/19/2018","54.04","54.52","54.80","53.46","451.30M","-0.66%"
"08/12/2018","54.40","51.92","54.49","51.92","557.50M","4.86%"
"08/05/2018","51.88","52.00","52.45","51.13","486.57M","-0.23%"
"07/29/2018","52.00","47.98","52.19","47.27","896.76M","8.92%"
"07/22/2018","47.74","47.67","48.99","47.39","378.45M","-0.25%"
"07/15/2018","47.86","47.88","48.16","47.30","351.86M","0.06%"
"07/08/2018","47.83","47.38","47.96","46.90","340.35M","1.79%"
"07/01/2018","46.99","45.95","47.11","45.85","263.10M","1.53%"
"06/24/2018","46.28","45.85","46.82","45.18","486.48M","0.11%"
"06/17/2018","46.23","46.97","47.30","45.86","502.42M","-2.08%"
