"Date","Price","Open","High","Low","Vol.","Change %"
"08/07/2022","40.74","41.29","47.99","38.63","40.70M","1.80%"
"07/31/2022","40.02","33.80","40.43","33.77","27.63M","17.67%"
"07/24/2022","34.01","35.00","35.51","32.10","22.00M","-4.95%"
"07/17/2022","35.78","36.25","40.41","34.93","54.72M","1.04%"
"07/10/2022","35.41","32.14","37.99","31.16","68.96M","10.19%"
"07/03/2022","32.13","30.38","33.88","28.34","59.55M","4.15%"
"06/26/2022","30.85","34.12","34.26","29.44","36.53M","-8.72%"
"06/19/2022","33.80","34.56","37.09","32.88","44.04M","0.05%"
"06/12/2022","33.78","30.13","33.96","28.58","59.63M","4.69%"
"06/05/2022","32.27","33.83","38.25","30.78","83.94M","-3.45%"
"05/29/2022","33.42","34.30","34.98","28.89","80.23M","-2.56%"
"05/22/2022","34.30","24.14","37.12","21.67","143.87M","43.44%"
"05/15/2022","23.92","24.70","25.60","22.44","56.28M","-2.77%"
"05/08/2022","24.60","27.69","27.69","19.44","110.62M","-14.22%"
"05/01/2022","28.67","30.91","31.94","27.56","38.31M","-8.29%"
"04/24/2022","31.27","33.85","34.93","30.13","29.77M","-9.51%"
"04/17/2022","34.56","37.50","38.28","33.89","36.95M","-8.32%"
"04/10/2022","37.69","35.76","39.13","35.15","35.84M","3.13%"
"04/03/2022","36.55","41.74","43.31","35.39","76.34M","-11.40%"
"03/27/2022","41.25","37.99","49.85","37.89","271.72M","8.59%"
"03/20/2022","37.99","22.50","39.54","22.44","264.22M","67.36%"
"03/13/2022","22.70","23.36","24.36","19.40","92.35M","-2.05%"
"03/06/2022","23.17","28.75","28.75","23.17","41.13M","-16.99%"
"02/27/2022","27.92","30.25","31.57","27.65","26.39M","-5.84%"
"02/20/2022","29.65","29.55","31.43","26.03","27.42M","-2.43%"
"02/13/2022","30.38","30.73","33.21","29.04","37.50M","-2.19%"
"02/06/2022","31.06","25.75","32.94","24.69","68.47M","21.41%"
"01/30/2022","25.58","24.47","29.16","23.77","59.30M","4.52%"
"01/23/2022","24.48","24.75","29.75","21.57","103.81M","-7.94%"
"01/16/2022","26.59","28.28","28.80","23.18","58.45M","-8.82%"
"01/09/2022","29.16","33.75","34.20","28.00","62.98M","-17.05%"
"01/02/2022","35.15","37.31","40.08","30.28","99.35M","-5.24%"
"12/26/2021","37.10","38.00","40.00","35.00","31.77M","-2.46%"
"12/19/2021","38.03","38.30","40.06","36.51","21.45M","-2.25%"
"12/12/2021","38.91","40.08","40.22","32.38","84.96M","-2.12%"
"12/05/2021","39.75","41.50","45.49","37.00","65.69M","-7.76%"
"11/28/2021","43.10","51.00","51.98","39.76","45.49M","-13.68%"
"11/21/2021","49.93","57.62","63.05","49.80","41.10M","-12.71%"
"11/14/2021","57.20","50.97","57.35","50.42","32.33M","13.21%"
"11/07/2021","50.53","53.13","56.26","49.13","29.28M","-5.23%"
"10/31/2021","53.31","45.63","63.92","45.51","99.24M","16.21%"
"10/24/2021","45.88","42.35","46.44","41.81","34.87M","8.07%"
"10/17/2021","42.45","45.74","48.04","41.95","44.56M","-7.35%"
"10/10/2021","45.82","43.25","47.55","43.25","34.90M","6.14%"
"10/03/2021","43.17","43.99","44.24","41.45","22.76M","-2.39%"
"09/26/2021","44.23","46.48","48.01","41.70","39.48M","-4.46%"
"09/19/2021","46.29","50.00","50.71","46.03","48.80M","-9.66%"
"09/12/2021","51.24","48.44","54.14","47.88","63.18M","7.65%"
"09/05/2021","47.60","51.56","52.47","44.50","72.92M","-6.09%"
"08/29/2021","50.69","51.25","57.86","49.71","63.43M","-1.07%"
"08/22/2021","51.24","40.60","56.75","39.89","153.30M","28.66%"
"08/15/2021","39.83","40.25","42.47","37.69","26.22M","-1.98%"
"08/08/2021","40.63","37.95","41.72","37.67","28.61M","7.08%"
"08/01/2021","37.94","40.50","40.90","36.31","92.57M","-5.80%"
"07/25/2021","40.28","45.09","46.51","39.72","44.77M","-10.67%"
"07/18/2021","45.09","40.83","48.88","40.31","41.99M","6.70%"
"07/11/2021","42.26","47.85","49.44","39.50","62.14M","-11.60%"
"07/04/2021","47.81","51.00","51.19","44.39","45.79M","-5.72%"
"06/27/2021","50.71","52.81","56.11","49.13","60.98M","-3.19%"
"06/20/2021","52.38","54.24","56.86","49.25","133.73M","-2.02%"
"06/13/2021","53.46","59.13","59.50","52.00","115.71M","-8.37%"
"06/06/2021","58.33","64.50","86.17","51.53","301.92M","-6.05%"
"05/30/2021","62.09","58.37","73.50","56.77","149.13M","11.87%"
