"날짜","종가","시가","고가","저가","거래량","변동 %"
"2019- 03- 24","4.49","4.40","4.54","4.28","2.64B","1.13%"
"2019- 03- 17","4.44","4.28","4.62","4.20","3.63B","4.47%"
"2019- 03- 10","4.25","3.79","4.29","3.74","3.39B","12.73%"
"2019- 03- 03","3.77","3.95","3.97","3.62","2.05B","-3.58%"
"2019- 02- 24","3.91","4.06","4.13","3.83","2.33B","-1.76%"
"2019- 02- 17","3.98","3.92","4.03","3.88","1.94B","1.27%"
"2019- 02- 10","3.93","3.66","4.10","3.61","4.04B","6.22%"
"2019- 02- 03","3.70","3.63","3.89","3.60","2.87B","2.21%"
"2019- 01- 27","3.62","3.41","3.67","3.27","6.11B","-9.50%"
"2019- 01- 20","4.00","3.89","4.02","3.69","3.12B","2.04%"
"2019- 01- 13","3.92","3.67","3.95","3.64","2.96B","5.38%"
"2019- 01- 06","3.72","3.46","3.74","3.41","3.51B","9.41%"
"2018- 12- 30","3.40","3.38","3.46","3.19","2.27B","1.80%"
"2018- 12- 23","3.34","3.16","3.43","3.11","2.42B","3.09%"
"2018- 12- 16","3.24","3.63","3.76","3.21","3.59B","-11.48%"
"2018- 12- 09","3.66","3.65","3.90","3.62","2.90B","-0.81%"
"2018- 12- 02","3.69","4.32","4.37","3.64","3.08B","-9.78%"
"2018- 11- 25","4.09","3.75","4.10","3.66","3.64B","12.98%"
"2018- 11- 18","3.62","4.04","4.05","3.33","4.83B","-11.92%"
"2018- 11- 11","4.11","5.05","5.17","4.04","4.59B","-20.04%"
"2018- 11- 04","5.14","5.36","5.44","5.03","2.09B","-4.28%"
"2018- 10- 28","5.37","5.10","5.55","4.40","3.33B","8.27%"
"2018- 10- 21","4.96","5.78","5.88","4.83","3.50B","-13.44%"
"2018- 10- 14","5.73","6.15","6.25","5.69","2.33B","-6.98%"
"2018- 10- 07","6.16","6.66","6.78","5.86","2.70B","-8.74%"
"2018- 09- 30","6.75","7.10","7.32","6.69","2.14B","-3.98%"
"2018- 09- 23","7.03","6.55","7.05","6.47","1.77B","6.68%"
"2018- 09- 16","6.59","6.89","6.96","6.55","1.60B","-4.63%"
"2018- 09- 09","6.91","6.82","6.98","6.55","1.57B","1.62%"
"2018- 09- 02","6.80","7.00","7.13","6.68","1.40B","-3.13%"
"2018- 08- 26","7.02","6.84","7.04","6.74","2.05B","3.08%"
"2018- 08- 19","6.81","6.08","6.82","5.97","3.53B","11.27%"
"2018- 08- 12","6.12","6.38","6.59","6.09","3.38B","-3.92%"
"2018- 08- 05","6.37","6.29","6.51","6.24","1.19B","1.11%"
"2018- 07- 29","6.30","6.31","6.33","6.03","1.39B","0.00%"
"2018- 07- 22","6.30","6.25","6.42","6.08","1.60B","0.48%"
"2018- 07- 15","6.27","6.21","6.36","6.13","1.30B","0.64%"
"2018- 07- 08","6.23","6.26","6.35","6.15","1.62B","0.81%"
"2018- 07- 01","6.18","5.85","6.19","5.83","1.18B","4.39%"
"2018- 06- 24","5.92","6.17","6.17","5.88","2.33B","-5.58%"
"2018- 06- 17","6.27","6.59","6.64","6.26","2.11B","-5.43%"
"2018- 06- 10","6.63","6.54","6.73","6.49","1.79B","1.07%"
"2018- 06- 03","6.56","6.47","6.66","6.44","2.13B","1.86%"
"2018- 05- 27","6.44","6.21","6.45","6.17","1.66B","3.37%"
"2018- 05- 20","6.23","6.25","6.25","6.01","2.33B","1.30%"
"2018- 05- 13","6.15","6.40","6.46","6.04","3.04B","-3.30%"
"2018- 05- 06","6.36","6.08","6.51","6.07","4.00B","6.35%"
"2018- 04- 29","5.98","5.67","5.98","5.55","1.69B","5.65%"
"2018- 04- 22","5.66","5.74","5.79","5.26","2.21B","-1.05%"
"2018- 04- 15","5.72","5.79","5.98","5.67","2.05B","-1.21%"
"2018- 04- 08","5.79","5.42","5.94","5.37","2.82B","8.02%"
"2018- 04- 01","5.36","5.72","5.87","5.33","3.74B","-7.43%"
"2018- 03- 25","5.79","5.95","6.25","5.42","3.88B","-0.52%"
