"Date","Price","Open","High","Low","Vol.","Change %"
"05/31/2020","239.56","232.28","240.17","231.88","182.83M","2.71%"
"05/24/2020","233.24","233.32","233.48","223.82","182.61M","1.61%"
"05/17/2020","229.54","226.16","232.01","225.35","188.66M","2.86%"
"05/10/2020","223.15","223.38","227.98","215.88","249.59M","-0.71%"
"05/03/2020","224.74","211.50","224.88","211.01","177.67M","5.70%"
"04/26/2020","212.63","216.07","219.92","211.10","224.19M","-0.51%"
"04/19/2020","213.73","213.16","215.77","203.52","228.95M","-0.67%"
"04/12/2020","215.18","199.82","216.40","198.65","281.37M","7.19%"
"04/05/2020","200.75","190.28","203.11","189.09","248.93M","9.54%"
"03/29/2020","183.27","187.00","195.15","180.77","269.68M","-1.04%"
"03/22/2020","185.20","170.83","192.62","164.84","447.01M","8.55%"
"03/15/2020","170.61","174.06","184.58","166.71","567.35M","-11.25%"
"03/08/2020","192.24","193.38","204.19","176.85","578.89M","-7.54%"
"03/01/2020","207.91","208.77","219.49","202.80","486.51M","1.08%"
"02/23/2020","205.69","221.72","224.13","198.07","533.74M","-10.63%"
"02/16/2020","230.15","233.35","237.35","229.20","155.41M","-1.86%"
"02/09/2020","234.52","228.31","234.81","228.26","122.36M","2.37%"
"02/02/2020","229.08","220.02","230.32","219.87","143.05M","4.63%"
"01/26/2020","218.95","217.61","223.44","217.07","189.64M","-1.63%"
"01/19/2020","222.58","222.61","225.76","221.55","105.82M","-0.30%"
"01/12/2020","223.26","219.19","223.44","218.87","116.29M","2.26%"
"01/05/2020","218.32","212.38","219.75","212.13","116.87M","1.99%"
"12/29/2019","214.07","213.40","216.05","211.05","98.58M","0.27%"
"12/22/2019","213.50","211.92","214.45","211.33","66.19M","0.90%"
"12/15/2019","211.60","208.39","212.41","208.37","98.47M","2.18%"
"12/08/2019","207.08","204.52","207.80","203.33","120.02M","1.07%"
"12/01/2019","204.89","205.00","205.07","193.68","106.48M","-0.05%"
"11/24/2019","204.99","202.56","205.94","202.56","59.52M","1.62%"
"11/17/2019","201.72","202.50","203.73","200.51","107.24M","-0.53%"
"11/10/2019","202.80","200.12","202.80","199.84","76.57M","0.84%"
"11/03/2019","201.12","200.08","201.61","198.68","86.90M","1.18%"
"10/27/2019","198.77","196.47","198.78","195.19","108.11M","1.65%"
"10/20/2019","195.54","192.55","195.64","191.05","94.83M","2.06%"
"10/13/2019","191.59","190.72","194.40","190.54","106.68M","0.30%"
"10/06/2019","191.01","188.13","192.53","185.17","143.56M","1.22%"
"09/29/2019","188.71","187.65","190.49","181.72","180.52M","0.95%"
"09/22/2019","186.93","190.26","191.69","185.65","168.35M","-1.98%"
"09/15/2019","190.70","191.20","193.93","190.01","128.95M","-0.90%"
"09/08/2019","192.44","192.08","194.61","188.81","129.58M","0.50%"
"09/01/2019","191.49","186.16","192.22","184.93","103.25M","2.20%"
"08/25/2019","187.37","184.09","188.87","182.81","129.38M","2.97%"
"08/18/2019","181.97","187.93","189.36","181.46","142.97M","-1.84%"
"08/11/2019","185.38","185.24","189.58","181.06","187.75M","-0.54%"
"08/04/2019","186.39","183.41","188.22","179.11","238.95M","-0.46%"
"07/28/2019","187.25","195.08","195.08","186.11","199.25M","-4.07%"
"07/21/2019","195.19","191.40","195.45","191.34","107.03M","2.24%"
"07/14/2019","190.91","193.87","194.09","190.59","111.02M","-1.30%"
"07/07/2019","193.43","189.76","193.44","188.55","109.11M","1.30%"
"06/30/2019","190.95","190.20","191.34","188.28","86.44M","2.31%"
"06/23/2019","186.64","188.42","188.62","184.55","116.78M","-0.97%"
"06/16/2019","188.47","182.91","189.67","182.74","181.13M","3.25%"
"06/09/2019","182.54","182.13","185.30","181.84","156.96M","0.88%"
